zero_index,gamma,C_phi,is_convex,norm_center,norm_plus,norm_minus
25101,22020.457075923,2.565776039e-93,True,7.889239735e-86,7.887817118e-86,7.890662607e-86
25201,22097.243135538,1.283874417e-93,True,3.947649366e-86,3.946937511e-86,3.948361349e-86
25301,22174.321772722,6.407376077e-94,True,1.970136179e-86,1.969780917e-86,1.970491505e-86
25401,22250.808383345,3.214817200e-94,True,9.884900806e-87,9.883118325e-87,9.886683609e-87
25501,22328.429767235,1.596569347e-94,True,4.909130507e-87,4.908245274e-87,4.910015899e-87
25601,22404.485627405,8.041759340e-95,True,2.472677512e-87,2.472231630e-87,2.473123475e-87
25701,22481.461567534,4.017083970e-95,True,1.235171661e-87,1.234948931e-87,1.235394432e-87
25801,22558.602286482,2.003666630e-95,True,6.160867660e-88,6.159756710e-88,6.161978811e-88
25901,22635.239310888,1.003950119e-95,True,3.086945231e-88,3.086388582e-88,3.087501981e-88
26001,22711.779566772,5.034761345e-96,True,1.548085408e-88,1.547806252e-88,1.548364615e-88
26101,22788.195867961,2.527723313e-96,True,7.772242104e-89,7.770840585e-89,7.773643876e-89
26201,22865.261567929,1.261649239e-96,True,3.879311536e-89,3.878612005e-89,3.880011194e-89
26301,22941.746854316,6.330224635e-97,True,1.946417107e-89,1.946066122e-89,1.946768156e-89
26401,23018.198803330,3.177100361e-97,True,9.768946209e-90,9.767184638e-90,9.770708099e-90
26501,23094.489318305,1.596889684e-97,True,4.910115456e-90,4.909230046e-90,4.911001026e-90
26601,23171.736354910,7.957449493e-98,True,2.446751831e-90,2.446310623e-90,2.447193117e-90
26701,23247.592738784,4.015299524e-98,True,1.234621907e-90,1.234399275e-90,1.234844578e-90
26801,23324.447539511,2.007946666e-98,True,6.174022448e-91,6.172909126e-91,6.175135971e-91
26901,23400.823214689,1.008469281e-98,True,3.100835305e-91,3.100276151e-91,3.101394560e-91
27001,23476.508117717,5.096573001e-99,True,1.567091234e-91,1.566808650e-91,1.567373868e-91
27101,23553.694530714,2.541051648e-99,True,7.813217296e-92,7.811808389e-92,7.814626458e-92
27201,23629.602032816,1.281615500e-99,True,3.940703676e-92,3.939993074e-92,3.941414406e-92
27301,23706.480314121,6.407657153e-100,True,1.970226036e-92,1.969870758e-92,1.970581378e-92
27401,23782.323382875,3.233673877e-100,True,9.942881260e-93,9.941088324e-93,9.944674520e-93
27501,23858.928098870,1.620725291e-100,True,4.983400806e-93,4.982502181e-93,4.984299593e-93
27601,23934.839231736,8.174083426e-101,True,2.513364497e-93,2.512911278e-93,2.513817798e-93
27701,24011.277804086,4.103012852e-101,True,1.261594145e-93,1.261366650e-93,1.261821681e-93
27801,24087.086288236,2.071259463e-101,True,6.368707429e-94,6.367559000e-94,6.369856064e-94
27901,24163.250537286,1.042252520e-101,True,3.204717453e-94,3.204139567e-94,3.205295443e-94
28001,24239.881615681,5.222558115e-102,True,1.605831877e-94,1.605542307e-94,1.606121498e-94
28101,24315.528069446,2.640281246e-102,True,8.118321089e-95,8.116857164e-95,8.119785278e-95
28201,24391.123827569,1.335409587e-102,True,4.106113023e-95,4.105372594e-95,4.106853586e-95
28301,24467.831858018,6.686879100e-103,True,2.056079400e-95,2.055708640e-95,2.056450227e-95
28401,24543.557022500,3.378172094e-103,True,1.038718335e-95,1.038531030e-95,1.038905675e-95
28501,24619.424062501,1.704449315e-103,True,5.240830632e-96,5.239885587e-96,5.241775848e-96
28601,24695.438198961,8.588362879e-104,True,2.640744705e-96,2.640268516e-96,2.641220979e-96
28701,24771.347147952,4.331598719e-104,True,1.331878560e-96,1.331638390e-96,1.332118772e-96
