T,k,curvature,is_zero
27.717867,5,17.8404189643544,False
27.717867,6,10051838.713414988,False
27.717867,7,3136.8176617047216,False
27.717867,8,1035962.62617567,False
31.679969,0,1073.1555835364784,False
31.679969,1,29.300720718074427,False
31.679969,2,363317.79254593916,False
31.679969,3,621.2847675768705,False
31.679969,4,11.042484271417408,False
31.679969,5,31.76218412725973,False
31.679969,6,6018637.402125014,False
31.679969,7,4462.988561678006,False
31.679969,8,2039040.2260189003,False
35.26062,0,947.4097206512508,False
35.26062,1,23.6025050748695,False
35.26062,2,326576.9472760391,False
35.26062,3,551.1781151922949,False
35.26062,4,585.5105106533642,False
35.26062,5,18.566064619029987,False
35.26062,6,3885060.5141826603,False
35.26062,7,722.1027219744703,False
35.26062,8,14429.501034599136,False
39.2524485,0,864.8058332829763,False
39.2524485,1,23.588170936483994,False
39.2524485,2,292728.7382890665,False
39.2524485,3,424.2186275598386,False
39.2524485,4,12.043547914508679,False
39.2524485,5,46.49374836240838,False
39.2524485,6,2087649.9975656285,False
39.2524485,7,3852.440291620001,False
39.2524485,8,1232541.8131607517,False
42.122896,0,794.9148245321913,False
42.122896,1,20.84260925362065,False
42.122896,2,274553.8381198775,False
42.122896,3,41.52449732622077,False
42.122896,4,60.08027813031447,False
42.122896,5,129.01675614518382,False
42.122896,6,104149.30469677609,False
42.122896,7,1623.4652111164035,False
42.122896,8,533188.769440221,False
45.6661115,0,733.5459215451073,False
45.6661115,1,18.88336427367944,False
45.6661115,2,251493.38135691974,False
45.6661115,3,404.55274370866624,False
45.6661115,4,31.726619054150973,False
45.6661115,5,27.46886429427775,False
45.6661115,6,1275826.3089683717,False
45.6661115,7,4238.565542180067,False
45.6661115,8,464521.0185544169,False
48.889491,0,685.9092150709981,False
48.889491,1,18.30938256923511,False
48.889491,2,233469.83752901072,False
48.889491,3,451.20707685058557,False
48.889491,4,39.13947397293782,False
48.889491,5,33.97587677866909,False
48.889491,6,2963159.450976402,False
48.889491,7,1961.131439542242,False
48.889491,8,553379.2138655802,False
51.3720765,0,671.4494766623706,False
51.3720765,1,19.376442188174448,False
51.3720765,2,222075.78743476348,False
51.3720765,3,376.962143594085,False
51.3720765,4,0.9323679640849125,False
51.3720765,5,64.45341154126538,False
51.3720765,6,1948174.7688856055,False
51.3720765,7,4646.67361859894,False
51.3720765,8,1378933.7475097098,False
54.708284,0,642.5687676587327,False
54.708284,1,19.808614689976388,False
54.708284,2,209708.97356775522,False
54.708284,3,348.6106302118701,False
54.708284,4,1.2413571628955289,False
54.708284,5,75.36461454904497,False
54.708284,6,2034227.5931071374,False
54.708284,7,5832.120424107185,False
54.708284,8,1822707.1595693394,False
57.8966455,0,568.8787371170323,False
57.8966455,1,13.953659232792301,False
57.8966455,2,202231.48011967065,False
57.8966455,3,402.16771886656016,False
57.8966455,4,115.13280486763477,False
57.8966455,5,8.779226901012294,False
57.8966455,6,1946717.2592600198,False
57.8966455,7,814.5741484789687,False
57.8966455,8,20409.46168423409,False
60.089411,0,574.3269550034038,False
60.089411,1,15.8821309336804,False
60.089411,2,192481.55323342513,False
60.089411,3,383.80685368384144,False
60.089411,4,5.980043138453794,False
